filename,contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135
file_59,1263072627,1402856251,-1129827484,-1380014943,109729305,109409647,118678020,79031985,19120.61611322273,15480.497744941196,15150.338401530667,16925.16581054889,5558,1015032,5439,1013667,0.9999999999998826,0.9999999999999063,0.9999999999999224,0.9999999999999527,-7853577.409917614,-6223449.711888866,-7685427.767639781,-6218492.845881521,5558,1015032,5439,1013667
file_58,467198502,507839009,-1179705994,-1260805382,105563880,105567135,118762680,79462688,18993.45617479347,15465.118339345705,15111.038524018304,16334.532179037045,5467,1010729,5467,1011714,0.9999999999999593,0.9999999999999166,0.9999999999998629,0.9999999999998498,-7724992.389352213,-6161686.647178697,-7724992.389352213,-6167151.189740061,5467,1010729,5467,1011714
file_60,-1771546204,-298932328,-1481887878,-1230380474,109305750,104355062,94751880,76201042,18300.201780139738,13256.250778987749,19330.924502923535,17699.90458455671,5173,1023828,5155,1026817,0.9999999999998516,0.9999999999998608,0.999999999999903,0.9999999999999168,-7309563.861371684,-5943218.356053439,-7284129.461699407,-5950690.426175347,5173,1023828,5155,1026817
file_61,-1102875258,-1191630265,-2091540859,-21053537,96429780,76603391,108168195,106048099,18572.381915028203,17709.36973293313,18583.85626939633,12966.55179216797,5189,1022786,5184,1024268,0.9999999999999034,0.9999999999999097,0.999999999999837,0.999999999999814,-7332172.21663593,-5982633.930173257,-7325107.105615853,-6003778.598452706,5189,1022786,5184,1024268
file_62,-1546035678,-1216894742,-1846095199,-313718029,94535130,76475978,108767955,104401613,18888.904806020582,17127.073983335762,20305.180406962118,13207.193311260276,5175,1024710,5168,1022808,0.9999999999998788,0.9999999999999192,0.9999999999998691,0.9999999999998657,-7312389.905779715,-5972148.320251697,-7302498.750351607,-5953548.308204436,5175,1024710,5168,1022808
file_63,193827788,1595614583,392516392,1727372896,221164560,204199145,235778100,167472412,28513.34323164296,21554.74566711489,23211.468834770436,22785.21278584484,9400,1720853,9376,1720464,0.9999999999999498,0.9999999999999131,0.9999999999999339,0.9999999999999537,-13282408.717744796,-10242136.24681683,-13248496.184848426,-10262877.563975165,9400,1720853,9376,1720464
file_64,960721672,1630606900,-73148032,1814383200,238126650,167023618,220349070,205297006,22126.95862508352,22697.122085713556,28488.801636354434,21837.78925777011,9408,1726608,9397,1726851,0.9999999999999412,0.9999999999999539,0.9999999999999477,0.9999999999999417,-13293712.895376919,-10267442.449902488,-13278169.65113275,-10269918.27443179,9408,1726608,9397,1726851
file_66,1414842250,-976262831,1651738527,1405621335,141097110,96225811,107588325,106891935,6675.235960324541,7744.325410222152,7800.301572592734,5352.364363534167,4762,817042,4758,814708,0.9999999999997321,0.9999999999997587,0.9999999999997914,0.999999999999652,-6728811.735521353,-5110373.217408878,-6723159.646705291,-5110358.850336285,4762,817042,4758,814708
file_65,1219740472,1603949682,-110262262,1502232849,239542920,166554622,219513690,203572767,23547.213975639985,21289.832332187805,27329.16781082014,22096.218943386935,9453,1718246,9354,1714525,0.9999999999999418,0.9999999999999593,0.9999999999999594,0.9999999999999173,-13357298.894557612,-10232118.265218062,-13217409.696360087,-10225683.196858834,9453,1718246,9354,1714525
file_67,2071609542,1521766948,-1347545211,-224125852,111274350,108224626,148195545,99708258,8282.007094748928,5188.319641000909,6692.665829847949,7983.552104440978,4918,828877,4905,828011,0.9999999999998075,0.9999999999996652,0.9999999999997076,0.9999999999997723,-6949243.199347756,-5218699.59501981,-6930873.910695556,-5209303.386220855,4918,828877,4905,828011
file_68,2003142807,1832522170,1200361495,-909463595,109942995,108871600,140220165,96782577,8412.197951491316,4812.812764525034,6365.168312882334,8218.434461063132,4823,830443,4746,831565,0.9999999999998446,0.9999999999997565,0.9999999999997348,0.9999999999997707,-6815006.0899662925,-5151421.425203724,-6706203.380257106,-5156605.526965666,4823,830443,4746,831565
file_69,360191062,1512053419,344037836,1383438401,225850950,169916755,150829440,148486697,7857.084919125258,13664.758944392828,19952.04885864212,18599.505494421086,7430,1460373,7410,1462451,0.9999999999999141,0.9999999999999161,0.9999999999999549,0.9999999999999308,-10498754.97583445,-8448689.042114438,-10470494.531754142,-8458002.020023424,7430,1460373,7410,1462451
file_70,441670961,1360955865,146120857,1645019450,151183635,148237133,224917395,170609448,19860.795667029615,18125.76826674457,7785.2282613721745,12586.682525271182,7415,1457052,7409,1460280,0.9999999999999566,0.9999999999999256,0.9999999999998718,0.9999999999998759,-10477559.642774219,-8447261.822311845,-10469081.509550126,-8462415.600730212,7415,1457052,7409,1460280
file_71,667249316,1589011746,548907382,1742415586,153562020,149934940,227417670,171648462,20651.562455896037,19245.62443755713,7331.146654766519,13963.594906696193,7542,1448614,7482,1443389,0.9999999999999251,0.9999999999999147,0.9999999999999106,0.9999999999999225,-10657013.462684175,-8571658.62242925,-10572232.13044325,-8552743.043186452,7542,1448614,7482,1443389
file_72,-260632447,-330822109,-1323998767,-1161047537,193730895,137410717,190531665,158635195,22912.10408030998,15532.066497441854,19556.0230115382,9231.631732585922,7580,1305836,7547,1303562,0.9999999999999005,0.9999999999998984,0.9999999999999064,0.9999999999998824,-10710708.30643676,-7789806.864569565,-10664078.573704252,-7776190.719466116,7580,1305836,7547,1303562
file_74,742594928,-249759961,-529637047,-259666743,200136750,162740719,192173355,138247005,19115.703969603826,9524.994690404483,22771.705923948375,15651.251726338634,7764,1310042,7535,1309452,0.9999999999999077,0.999999999999887,0.999999999999898,0.9999999999999084,-10970704.391975595,-7858182.724954419,-10647122.307256067,-7851128.390670827,7764,1310042,7535,1309452
file_76,1417136735,1273557880,450713256,-1245683665,290300925,238796642,271163940,223242767,21790.32269886652,15696.936063345072,29821.296177313867,14419.516378806704,10717,1902131,10693,1901182,0.9999999999999458,0.9999999999999462,0.9999999999999625,0.999999999999954,-15143358.960433083,-11592161.346875522,-15109446.427536713,-11587381.760082591,10717,1902131,10693,1901182
file_73,330258653,-1108744294,406415168,581876994,198698805,159473914,197435790,141357236,19763.471697343535,9058.276160826523,21843.821654336658,15228.22274008578,7720,1312770,7680,1312857,0.9999999999998791,0.9999999999998762,0.9999999999999135,0.9999999999998969,-10908531.414998917,-7860715.496234777,-10852010.5268383,-7870012.472619767,7720,1312770,7680,1312857
file_75,513468501,-1304537803,342497120,1531276721,271113195,223431147,286325730,240290703,30288.999899238017,15233.175305104905,21165.44113555334,15461.535289555928,10675,1909035,10652,1908746,0.9999999999999651,0.9999999999999483,0.9999999999999512,0.9999999999999393,-15084012.027864436,-11622415.16196991,-15051512.517172081,-11619626.537394986,10675,1909035,10652,1908746
